riding_id,riding_name,bq_can,ppc_can,ndp_can,cpc_can,lib_can,gp_can
256,Saskatoon—University,,Jaxson Boot,Rachel Loewen Walker,Corey Tochor,Greg Poelzer,
201,Sault Ste. Marie—Algoma,,,Laura Mayer,Hugh Stevenson,Terry Sheehan,
203,Scarborough Centre—Don Valley East,,Peter Koubakis,Alyson Koa,Belent Mathew,Salma Zahid,
205,Scarborough North,,,Karishma Manji,Gurmit Sandhu,Shaun Chen,
206,Scarborough Southwest,,Michael Poulin,Fatima Shaban,Asm Tarun,Bill Blair,
202,Scarborough—Agincourt,,,George Wedge,Aris Movsessian,Jean Yip,
204,Scarborough—Guildwood—Rouge Park,,,Kingsley Kwok,Suchita Jalan,Gary Anandasangaree,
207,Scarborough—Woburn,,,Dan Lovell,Reddy Muttukuru,Michael Coteau,
241,Selkirk—Interlake—Eastman,,Byron Gryba,Josef Estabrooks,James Bezan,Rhonda Nichol,
103,Shefford,Andréanne Larouche,Susanne Lefebvre,,James Seale,Félix Dionne,
104,Sherbrooke,Pierre-Étienne Rouillard,Alexandre Lépine,Jean-Pierre Fortier,Esteban Méndez-Hord,Élisabeth Brière,
295,Sherwood Park—Fort Saskatchewan,,,Chris Jones,Garnett Genuis,Tanya Holm,
209,Simcoe North,,Stephen Makk,Melissa Lloyd,Adam Chambers,Ryan Rocca,
208,Simcoe—Grey,,Giorgio Mammoliti,Jasleen Bains,Terry Dowdall,Bren Munro,
327,Similkameen—South Okanagan—West Kootenay,,Barry Dewar,Linda Sankey,Helena Konanz,Gloria Morgan,
328,Skeena—Bulkley Valley,,,Taylor Bachrach,Ellis Ross,Inderpal Dhillon,
258,Souris—Moose Mountain,,,Sheena Muirhead Koops,Steven Bonk,Aziz Mian,
21,South Shore—St. Margarets,,Patrick Boyd,,Rick Perkins,Jessica Fancy-Landry,
329,South Surrey—White Rock,,,Jureun Park,Kerry-Lynne Findlay,Ernie Klassen,
210,Spadina—Harbourfront,,Gilbert Jubinville,Norm Di Pasquale,Diana Filipova,Chi Nguyen,
296,St. Albert—Sturgeon River,,Brigitte Cecelia,Dot Anderson,Michael Cooper,Lucia Stachurski,
240,St. Boniface—St. Vital,,Gilles Pelletier,Thomas Linner,Shola Agboola,Ginette Lavack,
211,St. Catharines,,,Karen Orlandi,Bas Sluijmers,Chris Bittle,
6,St. John's East,,,Mary Shortall,David Brazil,Joanne Thompson,
212,Stormont—Dundas—Glengarry,,,Mario Leclerc,Eric Duncan,Sarah Good,
213,Sudbury,,Nicholas Bonderoff,Nadia Verrelli,Ian Symington,Viviane Lapointe,
214,Sudbury East—Manitoulin—Nickel Belt,,,Andréane Chénier,Jim Belanger,Marc Serré,
330,Surrey Centre,,,Dominic Denofrio,Rajvir Dhillon,Randeep Sarai,
331,Surrey Newton,,,Raj Singh Toor,Harjit Singh Gill,Sukh Dhaliwal,
259,Swift Current—Grasslands—Kindersley,,,Alex McPhee,Jeremy Patzer,William Caton,
22,Sydney—Glace Bay,,Jeffrey Evely,Kimberly Losier,Anna Manley,Mike Kelloway,
215,Taiaiako'n—Parkdale—High Park,,,Bhutila Karpoche,Wladyslaw Lizon,Karim Bardeesy,
7,Terra Nova—The Peninsulas,,,Liam Ryan,Jonathan Rowe,Anthony Germain,
105,Terrebonne,Nathalie Sinclair Desgagné,Maria Cantore,Maxime Beaudoin,Adrienne Charles,Tatiana Auguste,
106,Thérèse-De Blainville,Marie-Noëlle Closson-Duquette,Chantal Lavoie,Michel Lacroix,Julie Bergeron,Madeleine Chenette,
216,Thornhill,,Amir Hart,,Melissa Lantsman,Liane Kotler,
217,Thunder Bay—Rainy River,,Sabrina Ree,Yuk-Sem Won,Brendan Hyatt,Marcus Powlowski,
218,Thunder Bay—Superior North,,Amos Bradley,Joy Wakefield,Bob Herman,Patty Hajdu,
32,Tobique—Mactaquac,,Vern Brundle,Michael Winter,Richard Bragdon,Julian Moulton,
219,Toronto Centre,,Nathen Mazri,Samantha Green,Luis Ibarra,Evan Solomon,
220,Toronto—Danforth,,,Clare Hacksel,Ashik Hussain,Julie Dabrusin,
221,Toronto—St. Paul's,,Joseph Frasca,Bruce Levy,Don Stewart,Leslie Church,
107,Trois-Rivières,René Villemure,Yan Patry,Matthew Sévigny,Yves Levesque,Caroline Desrochers,
222,University—Rosedale,,,Serena Purdy,Liz Grade,Chrystia Freeland,
332,Vancouver Centre,,,Avi Lewis,Elaine Allan,Hedy Fry,
333,Vancouver East,,Meghan Murphy,Jenny Kwan,Lita Cabal,Mark Wiens,
334,Vancouver Fraserview—South Burnaby,,Desiderio Magtanggol Reyes,Manoj Bhangu,Avi Nayyar,Gregor Robertson,
335,Vancouver Granville,,,Sukhi Singh Sahota,Marie Rogers,Taleeb Noormohamed,
336,Vancouver Kingsway,,,Don Davies,Ravinder Bhatia,Amy Gill,
337,Vancouver Quadra,,John Ede,Alim Fakirani,Ken Charko,Wade Grant,Tom Digby
108,Vaudreuil,,Jean Boily,Kalden Rangdrol Dhatsenpa,Thomas Barré,Peter Schiefke,
223,Vaughan—Woodbridge,,,Ali Bahman,Michael Guglielmin,Francesco Sorbara,
338,Vernon—Lake Country—Monashee,,,Leah Main,Scott Anderson,Anna Warwick Sears,
339,Victoria,,David Mohr,Laurel Collins,Angus Ross,Will Greaves,
109,Ville-Marie—Le Sud-Ouest—Île-des-Soeurs,,,,Steve Shanahan,Marc Miller,
110,Vimy,,,,Grace Daou,Annie Koutrakis,
224,Waterloo,,Douglas Ross,Héline Chow,Waseem Botros,Bardish Chagger,
225,Wellington—Halton Hills North,,Syl Carle,Andrew Bascombe,Michael Chong,Sean Carscadden,
340,West Vancouver—Sunshine Coast—Sea to Sky Country,,Peyman Askari,Jäger Rosenberg,Keith Roy,Patrick Weiler,Lauren Greenlaw
226,Whitby,,,Kevin Goswell,Steve Yamada,Ryan Turnbull,
227,Willowdale,,,Christy Kheirallah,James Lin,Ali Ehsassi,
229,Windsor West,,Jacob Bezaire,Brian Masse,Harb Gill,Richard Pollock,
228,Windsor—Tecumseh—Lakeshore,,Nick Babic,Alex Ilijoski,Kathy Borrelli,Irek Kusmierczyk,
242,Winnipeg Centre,,Donald Grant,Leah Gazan,Thomas Bambrick,Rahul Walia,
243,Winnipeg North,,Jessica Bailon,Adebayo Akinrogunde,Rachel Punzalan,Kevin Lamoureux,
244,Winnipeg South,,Johann Rempel Fehr,Joanne Bjornson,Janice Morley-Lecomte,Terry Duguid,
245,Winnipeg South Centre,,Jaclyn Cummings,Jorge Requena Ramos,Royden Brousseau,Ben Carr,
246,Winnipeg West,,,Avery Selby-Lyons,Marty Morantz,Doug Eyolfson,
297,Yellowhead,,Vicky Bayford,Avni Soma,William Stevenson,Michael Fark,
230,York Centre,,,Yusuf Sinan Ulukanligil,Roman Baber,Ya’ara Saks,
232,York South—Weston—Etobicoke,,,Louise James,Nicolas Pham,Ahmed Hussen,
231,York—Durham,,Patricia Conlin,Justin Graham,Jacob Mantle,Rob Grossi,
260,Yorkton—Melville,,,Michaela Krakowetz,Cathay Wagantall,Luke Guimond,Valerie Brooks
341,Yukon,,,Katherine McCallum,Ryan Leef,Brendan Hanley,Gabrielle Dupont
